Plot;Year;Treatment;Bloc;SP1;SP3;SP4;SP5;SP6;SP7;SP8;SP9;SP11;SP12;SP13;SP14;SP15;SP16;SP18;SP19;SP20;SP21;SP22;SP23;SP24;SP25;SP26;SP28;SP30;SP31;SP33;SP34;SP35;SP36;SP37;SP38;SP39;SP40;SP41;SP42;SP43;SP44;SP45;SP46;SP47;SP48;SP49;SP50;SP51;SP52;SP53;SP55;SP56;SP57;SP58;SP60;SP62;SP63;SP64;SP65;SP67;SP68;SP69;SP70;SP71;SP72;SP73;SP74;SP75;SP76;SP77;SP78;SP79;SP80;SP81;SP82;SP83;SP84;SP85;SP86;SP87;SP88;SP90;SP91;SP92;SP93;SP94;SP95;SP96;SP97;SP98;SP99;SP101;SP102;SP103;SP104;SP105;SP106;SP107;SP108;SP109;SP110
27;2018;Mown_NPK;2;15.13157895;0;0;0;15.13157895;0;0;0;0;0;0;0;0;0;0;0;0;1.973684211;1.315789474;0;0;0;0;0;0;0;0;3.947368421;0;0;0;0;2.631578947;0;0;0;0;0;0;0;0;0;0;5.921052632;0;0;1.315789474;0;0;0;0;0;0;4.605263158;0;0;0;0;0;0;0;19.73684211;0;0;0;0;0;0;0;0;1.315789474;0;0;0;0;0;3.947368421;9.210526316;0;0;0;1.315789474;12.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2019;Mown_NPK;1;0;0;0;0;0.746268657;0;0;0.746268657;0;0;0;0;0;0;0;0;0;3.731343284;3.731343284;0;0;0;0;0;0;0;0;0;26.86567164;0;0;0;5.970149254;0;0;0;0;0;0;0;0;0;0;2.985074627;0.746268657;0;0;0;0.746268657;0;0;0;12.68656716;0;0;0;0;0;0;0;0;17.1641791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.208955224;11.94029851;0;0;0;0;0.746268657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2019;Mown_NPK;1;1.709401709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.709401709;1.709401709;0;0;0;0;0;0;0;0;1.709401709;32.47863248;0;0;0;7.692307692;0;0;0;0;0;0;0;0;0;0;3.418803419;3.418803419;0;0.854700855;0;1.709401709;0;0;0;9.401709402;0.854700855;0;0;0;0;0;0;0;17.94871795;0;0;0;0;0;0;0;0;0;0;0;0;0;1.709401709;5.982905983;5.982905983;0;0;0;1.709401709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2019;Mown_NPK;2;0.71942446;0;0;0;20.86330935;0;0;0.71942446;0;0;0;0;0;0;0;0;0;0;0.71942446;0;0;0;0;0;0;0;0;0.71942446;10.79136691;0;0;0;0.71942446;0;0;0;0;0;0;0;0;0;0;12.23021583;0;0;1.438848921;0;0.71942446;0;0;0;0;1.438848921;0;0;0;0;0;0;0;22.30215827;0;0;0;0;0;0;0;0;0;0;0.71942446;0;0;0;5.755395683;6.474820144;0;0;0;0;13.66906475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2019;Mown_NPK;2;13.90728477;0;0;0;19.20529801;0;0;0;0;0;0;0;0;0;0;0;0;1.986754967;0;0;0;0;0;0;0;0;0;3.311258278;0;0;0;0;3.973509934;0;0;0;0;0;0;0;0;0;0;7.947019868;0;0;1.324503311;0;0;0;0;0;0;3.311258278;0;0;0;0;0;0;0;19.20529801;0;0;0;0;0;0;0;0;0.662251656;0.662251656;0;0;0;0;3.973509934;7.284768212;0;0;0;0;11.9205298;0;0;0.662251656;0;0;0;0;0;0;0;0;0;0;0;0
6;2020;Mown_NPK;1;0;0.549450549;0;0;0.549450549;0;0;2.197802198;0;0;0;0;0;0;0;0;0;0;10.98901099;0;0;0;0;0;0;0;0;1.648351648;19.78021978;0;0;0;9.340659341;0;0;0;0;0;0;0;0;0;0;3.846153846;2.197802198;0;2.197802198;0;0;0;0;0;17.03296703;2.747252747;0;0;0;0;0;0;0;16.48351648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.494505495;4.395604396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2020;Mown_NPK;1;1.117318436;1.117318436;0;0;1.675977654;0;0;1.117318436;0;0;0;0;0;0;0;0;0;3.910614525;5.586592179;0;0;0;0;0;0;0;0;1.117318436;18.43575419;0;0;0;8.379888268;0;0;0;0;0;0;0;0;0;0;5.027932961;2.234636872;0;0.558659218;0;1.675977654;0;0;0;10.05586592;1.117318436;0;0;0;0;0.558659218;0;0;18.43575419;0;0;0.558659218;0;0;0;0;0;0;0;0;0;0;0;10.61452514;4.469273743;0;0;0;1.117318436;0.558659218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2020;Mown_NPK;2;0.552486188;0.552486188;0;0;16.02209945;0;0;1.657458564;0;0;0;0;0;0;0;0;0;1.104972376;2.209944751;0;0;1.104972376;0;0;0;0;0;3.867403315;6.629834254;0;0;0;1.657458564;0;0;0;0;0;0;0;0;0;0;8.839779006;0;0;4.419889503;0;0.552486188;0;0;0;0.552486188;0.552486188;0;0;0;0;0;0;0;21.54696133;0;0;0;0;0;0;0;0;0;0;0.552486188;0;0;0.552486188;4.972375691;4.972375691;0;0;0;0;17.12707182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;2020;Mown_NPK;2;16.66666667;1.075268817;0;0;13.97849462;0;0;1.075268817;0;0;0;0;0;0;0;0;0;1.075268817;2.688172043;0;0;0;0;0;0;0;0;2.688172043;0;0;0;0;4.301075269;0;0.537634409;0;0;0;0;0;0;0;0;4.838709677;0;0;2.150537634;0;3.225806452;0;0;0;0;2.688172043;0;0;0;0;0;0;0;16.12903226;0;0;0;0;0;0;0;0;1.075268817;0;0;0;0;0;10.21505376;4.301075269;0;0;0;0;10.75268817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2021;Mown_NPK;1;0;1.648351648;0;0;0.549450549;0;0;0.549450549;0;0;0;0;0;0;0;0;0;0.549450549;8.241758242;0;0;0;0;0;0;0;0;1.648351648;19.23076923;0;0;0;5.494505495;0;0;0;0;0;0;0;0;0;0;6.043956044;0.549450549;0;2.197802198;0;5.494505495;0;0;0;17.58241758;0;0;0;0;0;0;0;0;15.38461538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.89010989;3.296703297;0;0;0;0;0;0;0;1.098901099;0;0;0.549450549;0;0;0;0;0;0;0;0;0
